date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/03/2022,1,broken moon,casual,846,S3,0,no,yes,5,1,0,1,Valkyrie,Wattson,quit,1268,NA,NA,5,4,0,0,0,0,5,4,0,1,0,0,1,1,0,,
11/03/2022,2,broken moon,casual,NA,S3,0,no,yes,12,2,0,0,Valkyrie,Lifeline,Pathfinder,178,102,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/03/2022,3,broken moon,casual,NA,S3,0,no,no,3,2,0,0,Valkyrie,Wraith,Lifeline,141,493,256,0,2,2,1,1,0,0,2,2,0,0,0,0,0,0,,
11/03/2022,4,broken moon,casual,NA,S3,0,no,no,4,2,0,0,Valkyrie,Mirage,Wattson,497,254,449,0,2,1,1,0,0,0,3,1,0,0,0,0,0,0,,
11/03/2022,5,broken moon,casual,NA,S3,0,no,no,8,2,0,0,Valkyrie,Lifeline,Wraith,792,115,758,1,2,2,4,1,2,2,2,3,0,1,0,0,0,1,,
11/03/2022,6,broken moon,casual,NA,S3,0,no,no,11,2,0,0,Valkyrie,Rampart,Octane,381,0,390,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,,
11/03/2022,7,broken moon,casual,NA,S3,0,no,no,9,2,0,0,Valkyrie,Mad Maggie,Horizon,254,372,1104,1,0,5,1,3,0,1,1,5,0,0,0,0,0,0,,
11/03/2022,8,broken moon,casual,NA,S3,0,no,no,18,2,0,0,Horizon,Rampart,Wraith,145,0,60,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,
11/03/2022,9,broken moon,ranked,NA,S3,261,no,no,1,2,0,0,Vantage,Pathfinder,Catalyst,1457,918,482,4,2,2,1,4,1,5,2,2,1,1,1,1,0,0,,
11/03/2022,10,broken moon,ranked,NA,S3,30,no,no,4,2,0,0,Crypto,Pathfinder,Rampart,499,148,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/03/2022,11,broken moon,ranked,NA,S3,111,no,no,4,2,0,0,Vantage,Rampart,Octane,1041,1212,1359,1,2,3,2,0,2,1,2,5,0,0,0,0,0,0,,
11/03/2022,12,broken moon,ranked,NA,S3,-5,no,no,NA,2,0,0,Vantage,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/03/2022,13,broken moon,ranked,NA,S3,-25,no,no,15,2,0,0,Vantage,Seer,Horizon,69,52,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
11/03/2022,14,broken moon,ranked,NA,S3,-24,no,no,18,2,0,0,Ashe,Valkyrie,Catalyst,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/03/2022,15,broken moon,ranked,699,S3,174,no,no,4,2,0,0,Ashe,Vantage,Bloodhound,1340,1098,1078,5,4,1,1,3,4,5,5,1,0,1,0,0,0,0,,
11/03/2022,16,broken moon,ranked,320,S3,-20,no,no,12,2,0,0,Ashe,Caustic,Bloodhound,209,NA,NA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
11/03/2022,17,broken moon,ranked,NA,S3,-8,no,no,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/03/2022,18,broken moon,ranked,NA,S3,5,no,no,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/03/2022,19,broken moon,ranked,NA,S3,-25,no,no,20,2,0,0,Ashe,Catalyst,Octane,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/03/2022,20,broken moon,ranked,NA,S3,-5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/03/2022,21,broken moon,ranked,NA,S3,-21,no,yes,14,2,0,0,Pathfinder,Catalyst,Rampart,157,480,374,1,2,1,0,1,1,1,2,1,0,0,0,0,0,0,,
11/03/2022,22,broken moon,ranked,NA,S3,15,no,yes,9,2,0,0,Pathfinder,Octane,Bangalore,462,495,90,3,0,0,0,0,0,3,0,0,1,0,0,1,0,0,,
11/03/2022,23,broken moon,ranked,NA,S3,92,no,no,5,2,0,0,Pathfinder,Wraith,Loba,1057,185,42,3,1,1,1,0,0,4,1,1,0,0,0,0,0,0,,
11/03/2022,24,broken moon,ranked,NA,S3,-15,no,no,10,2,1,0,Mad Maggie,Pathfinder ,Catalyst ,169,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,,
11/03/2022,25,broken moon,ranked,NA,S3,312,no,no,1,2,0,0,Pathfinder,Bllodhound,Horizon,975,1210,2590,5,4,2,1,3,6,5,4,2,1,0,0,0,0,0,,
11/06/2022,26,broken moon,casual,907,S2,0,no,no,1,2,0,0,Catalyst,Vantage,Loba,1441,1020,657,7,2,3,2,5,3,7,2,3,0,0,0,0,0,0,,
11/06/2022,27,broken moon,ranked,1333,S2,152,no,no,3,2,0,0,Catalyst,Horizon,Seer,1098,733,718,2,2,3,2,2,2,3,2,5,1,1,1,0,0,0,,
11/06/2022,28,broken moon,ranked,718,S2,34,no,no,7,2,0,0,Catalyst,Wraith,Seer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/06/2022,29,broken moon,ranked,193,S2,-28,no,no,16,2,0,0,Ashe,Catalyst,Lifeline ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/06/2022,30,broken moon,ranked ,230,S2,0,no,no,15,0,0,0,Ashe,NA,NA,672,NA,NA,2,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,,
11/06/2022,31,broken moon,ranked,665,S2,37,no,no,6,2,0,,Catalyst,Seer,Wraith,301,712,160,0,2,1,2,1,0,0,2,1,0,2,1,0,0,0,,
11/06/2022,32,broken moon,ranked,149,S2,-28,no,no,17,2,0,0,Catalyst,Horizon,Octane,78,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,,
11/06/2022,33,broken moon,ranked,199,S2,-25,no,no,14,2,0,0,Catalyst,Vantage,Bangalore,304,245,230,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,,
